--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.038  000.038: event init
000.119  000.081: early init
000.344  000.225: locale set
000.361  000.017: init first window
000.615  000.254: inits 1
000.625  000.011: window checked
000.628  000.002: parsing arguments
000.889  000.021  000.021: require('vim.shared')
000.934  000.018  000.018: require('vim.inspect')
000.955  000.017  000.017: require('vim._options')
000.956  000.066  000.030: require('vim._editor')
000.957  000.108  000.021: require('vim._init_packages')
000.958  000.222: init lua interpreter
002.300  001.342: expanding arguments
002.311  000.010: inits 2
002.519  000.208: init highlight
002.556  000.037: clear screen
002.662  000.009  000.009: require('vim.keymap')
003.359  000.087  000.087: sourcing nvim_exec2()
003.431  000.869  000.773: require('vim._defaults')
003.432  000.007: init default mappings & autocommands
003.797  000.029  000.029: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/ftplugin.vim
003.851  000.014  000.014: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/indent.vim
005.155  000.003  000.003: require('vim.F')
005.171  000.857  000.855: require('vim.diagnostic')
005.571  000.310  000.310: require('lazy')
005.680  000.061  000.061: require('kickstart.plugins.indent_line')
005.745  000.065  000.065: require('kickstart.plugins.lint')
005.809  000.063  000.063: require('kickstart.plugins.neo-tree')
005.886  000.077  000.077: require('kickstart.plugins.gitsigns')
005.903  000.010  000.010: require('ffi')
005.945  000.030  000.030: require('vim.fs')
006.049  000.103  000.103: require('vim.uri')
006.056  000.152  000.019: require('vim.loader')
006.179  000.111  000.111: require('lazy.stats')
006.326  000.124  000.124: require('lazy.core.util')
006.451  000.124  000.124: require('lazy.core.config')
006.707  000.139  000.139: require('lazy.core.handler')
006.968  000.103  000.103: require('lazy.pkg')
006.970  000.173  000.070: require('lazy.core.meta')
006.973  000.265  000.092: require('lazy.core.plugin')
006.975  000.524  000.119: require('lazy.core.loader')
007.608  000.065  000.065: require('lazy.async')
007.745  000.068  000.068: require('lazy.manage.process')
007.836  000.090  000.090: require('lazy.terminal')
